광역지자체,기초지자체,RFID종량기 수,(추정) 세대수
서울특별시,종로구,203,12358
서울특별시,중구,380,23508
서울특별시,용산구,35,2457
서울특별시,성동구,599,40612
서울특별시,광진구,490,25302
서울특별시,동대문구,430,33564
서울특별시,중랑구,856,48150
서울특별시,성북구,328,28019
서울특별시,강북구,127,7442
서울특별시,도봉구,896,60356
서울특별시,노원구,2080,132051
서울특별시,은평구,357,24725
서울특별시,서대문구,772,50675
서울특별시,마포구,1185,76376
서울특별시,양천구,380,24494
서울특별시,강서구,772,51509
서울특별시,구로구,314,20453
서울특별시,금천구,499,33564
서울특별시,영등포구,1227,76725
서울특별시,동작구,800,47831
서울특별시,관악구,505,28988
서울특별시,서초구,651,43838
서울특별시,강남구,264,16770
서울특별시,송파구,2815,140048
서울특별시,강동구,942,60967
부산광역시,중구,11,1130
부산광역시,서구,116,10399
부산광역시,동구,105,10014
부산광역시,영도구,153,15828
부산광역시,부산진구,630,59688
부산광역시,동래구,555,43640
부산광역시,남구,589,49925
부산광역시,북구,696,66605
부산광역시,해운대구,1047,92097
부산광역시,사하구,642,60020
부산광역시,금정구,399,34707
부산광역시,강서구,494,37123
부산광역시,연제구,405,38520
부산광역시,수영구,298,26472
부산광역시,사상구,615,50362
부산광역시,기장군,537,40392
대구광역시,중구,217,16786
대구광역시,동구,310,24275
대구광역시,서구,130,10946
대구광역시,남구,207,14137
대구광역시,북구,663,51069
대구광역시,수성구,651,44281
대구광역시,달서구,1389,101354
대구광역시,달성군,446,37347
인천광역시,중구,209,15451
인천광역시,동구,230,14464
인천광역시,미추홀구,764,51183
인천광역시,연수구,1099,75311
인천광역시,남동구,1248,70680
인천광역시,부평구,824,45145
인천광역시,계양구,413,30868
인천광역시,서구,1700,93558
인천광역시,강화군,59,2571
광주광역시,동구,271,14916
광주광역시,서구,1096,66927
광주광역시,남구,592,37277
광주광역시,북구,996,67290
광주광역시,광산구,1103,68020
대전광역시,동구,86,5325
대전광역시,중구,134,10718
대전광역시,서구,375,23753
대전광역시,유성구,127,8229
대전광역시,대덕구,155,9551
울산광역시,중구,338,20149
울산광역시,남구,400,26257
울산광역시,동구,177,10858
울산광역시,북구,350,23761
울산광역시,울주군,216,12208
경기도,수원시장안구,891,51435
경기도,수원시권선구,1455,83321
경기도,수원시팔달구,476,27902
경기도,수원시영통구,1732,106100
경기도,성남시중원구,17,976
경기도,성남시분당구,16,879
경기도,의정부시,431,29917
경기도,안양시,312,23289
경기도,부천시,814,46193
경기도,광명시,2,258
경기도,평택시,326,21788
경기도,동두천시,359,20067
경기도,고양시,98,6203
경기도,과천시,11,623
경기도,구리시,462,26956
경기도,남양주시,599,42944
경기도,오산시,1139,67669
경기도,시흥시,673,39900
경기도,군포시,300,21431
경기도,의왕시,410,24500
경기도,용인시,4633,257310
경기도,파주시,936,63167
경기도,이천시,702,38967
경기도,김포시,9,152
경기도,화성시,4057,240748
경기도,광주시,8,2230
경기도,양주시,644,51808
경기도,포천시,324,19648
경기도,여주시,260,12160
강원도,춘천시,653,35052
강원도,원주시,1333,109609
강원도,강릉시,371,24196
강원도,동해시,316,21812
강원도,속초시,41,3382
강원도,삼척시,227,10522
강원도,홍천군,248,8172
강원도,횡성군,301,13774
강원도,영월군,8,400
강원도,정선군,56,2654
강원도,철원군,55,1430
강원도,양구군,18,956
강원도,고성군,76,3449
충청북도,청주시,1985,137165
충청남도,서산시,76,4703
전라북도,군산시,907,50395
전라북도,익산시,778,59478
전라북도,정읍시,360,20500
전라북도,임실군,50,2411
전라북도,순창군,13,630
전라북도,고창군,181,8346
전라북도,부안군,100,5600
전라남도,목포시,8,586
전라남도,여수시,86,6654
전라남도,순천시,568,34412
전라남도,나주시,86,6370
전라남도,곡성군,1,24
전라남도,해남군,4,452
전라남도,무안군,6,435
전라남도,함평군,8,291
전라남도,완도군,1,71
경상북도,포항시,1251,121624
경상북도,김천시,591,35550
경상북도,안동시,499,36443
경상북도,구미시,1527,112058
경상북도,영주시,411,21775
경상북도,영천시,94,5696
경상북도,상주시,121,8988
경상북도,경산시,732,57299
경상북도,영덕군,21,1056
경상북도,예천군,151,7792
경상북도,울진군,417,19890
경상북도,울릉군,194,7970
경상남도,창원시,155,10606
경상남도,진주시,924,57754
경상남도,통영시,58,3102
경상남도,김해시,2036,140993
경상남도,거제시,72,6101
경상남도,양산시,844,60895
경상남도,의령군,12,743
경상남도,창녕군,357,17329
경상남도,고성군,68,3943
경상남도,하동군,25,1487
제주특별자치도,제주시,4211,178742
제주특별자치도,서귀포시,2081,39921
